Equipo,Victorias,Empates,Derrotas,Puntos,GolesAnotados,GolesRecibidos,GolesDescansoAnotados,GolesDescansoRecibidos,TirosRealizados,TirosRecibidos,TirosAPuerta,TirosRecibidosAPuerta,CornersAFavor,CornersEnContra,FaltasCometidas,FaltasRecibidas,AmarillasPropias,AmarillasRival,RojasPropias,RojasRival
Man City,28,7,3,91,96,34,40.0,16.0,690.0,294.0,278.0,111.0,282.0,133.0,287.0,421.0,51.0,90.0,2.0,2.0
Arsenal,28,5,5,89,91,29,42.0,12.0,657.0,322.0,227.0,87.0,256.0,113.0,391.0,407.0,62.0,77.0,2.0,2.0
Liverpool,24,10,4,82,86,41,32.0,21.0,790.0,417.0,277.0,149.0,287.0,152.0,462.0,392.0,65.0,91.0,5.0,4.0
Aston Villa,20,8,10,68,76,61,36.0,21.0,514.0,454.0,190.0,181.0,233.0,161.0,413.0,483.0,94.0,90.0,2.0,3.0
Tottenham,20,6,12,66,74,61,26.0,30.0,582.0,486.0,214.0,172.0,235.0,236.0,425.0,530.0,88.0,96.0,4.0,4.0
Chelsea,18,9,11,63,77,63,37.0,23.0,548.0,556.0,215.0,188.0,203.0,191.0,445.0,464.0,104.0,93.0,3.0,4.0
Man United,18,6,14,60,57,58,22.0,23.0,550.0,667.0,193.0,210.0,226.0,279.0,398.0,352.0,80.0,84.0,1.0,1.0
Newcastle,18,6,14,60,85,62,37.0,23.0,551.0,534.0,213.0,202.0,193.0,195.0,385.0,482.0,76.0,94.0,1.0,3.0
West Ham,14,10,14,52,60,74,25.0,34.0,450.0,652.0,150.0,246.0,168.0,229.0,390.0,407.0,76.0,69.0,3.0,2.0
Crystal Palace,13,10,15,49,57,58,24.0,19.0,456.0,459.0,169.0,155.0,178.0,198.0,456.0,440.0,69.0,76.0,2.0,2.0
Brighton,12,12,14,48,55,62,23.0,29.0,562.0,467.0,208.0,167.0,206.0,167.0,414.0,461.0,89.0,93.0,3.0,5.0
Bournemouth,13,9,16,48,54,67,19.0,27.0,542.0,532.0,185.0,197.0,236.0,214.0,506.0,396.0,80.0,80.0,3.0,2.0
Everton,13,9,16,48,40,51,17.0,23.0,507.0,538.0,162.0,171.0,185.0,238.0,457.0,373.0,79.0,61.0,1.0,2.0
Fulham,13,8,17,47,55,61,22.0,22.0,500.0,523.0,178.0,196.0,212.0,189.0,384.0,385.0,77.0,64.0,4.0,0.0
Wolves,13,7,18,46,50,65,18.0,30.0,427.0,576.0,159.0,213.0,158.0,225.0,477.0,419.0,98.0,81.0,4.0,3.0
Brentford,10,9,19,39,56,65,21.0,26.0,473.0,548.0,172.0,187.0,185.0,219.0,384.0,434.0,88.0,69.0,2.0,4.0
Nott'm Forest,9,9,20,36,49,67,24.0,31.0,451.0,510.0,148.0,171.0,148.0,248.0,428.0,383.0,75.0,75.0,3.0,7.0
Luton,6,8,24,26,52,85,20.0,30.0,431.0,655.0,141.0,232.0,204.0,226.0,443.0,469.0,71.0,70.0,0.0,2.0
Burnley,5,9,24,24,41,78,18.0,36.0,433.0,614.0,142.0,246.0,181.0,233.0,427.0,368.0,71.0,82.0,7.0,3.0
Sheffield United,3,7,28,16,35,104,14.0,41.0,368.0,678.0,129.0,269.0,142.0,272.0,423.0,329.0,93.0,51.0,5.0,2.0
