Equipo,Victorias,Empates,Derrotas,Puntos,GolesAnotados,GolesRecibidos,GolesDescansoAnotados,GolesDescansoRecibidos,TirosRealizados,TirosRecibidos,TirosAPuerta,TirosRecibidosAPuerta,CornersAFavor,CornersEnContra,FaltasCometidas,FaltasRecibidas,AmarillasPropias,AmarillasRival,RojasPropias,RojasRival
Liverpool,15,3,1,48,49,17,20.0,10.0,478.0,172.0,175.0,64.0,163.0,59.0,228.0,212.0,26.0,49.0,1.0,3.0
Arsenal,15,2,2,47,48,16,19.0,7.0,360.0,138.0,127.0,45.0,129.0,51.0,195.0,187.0,34.0,40.0,1.0,2.0
Man City,14,5,0,47,51,16,25.0,6.0,364.0,112.0,129.0,46.0,155.0,48.0,148.0,220.0,22.0,49.0,2.0,0.0
Aston Villa,12,4,3,40,48,28,21.0,8.0,280.0,204.0,105.0,74.0,114.0,70.0,212.0,261.0,48.0,49.0,1.0,1.0
Newcastle,12,4,3,40,49,22,21.0,10.0,330.0,234.0,123.0,80.0,112.0,88.0,187.0,246.0,32.0,49.0,1.0,3.0
Tottenham,13,0,6,39,38,27,12.0,12.0,324.0,220.0,121.0,87.0,137.0,93.0,207.0,271.0,40.0,59.0,2.0,3.0
Chelsea,11,4,4,37,44,26,23.0,10.0,313.0,258.0,124.0,83.0,116.0,91.0,201.0,227.0,46.0,50.0,1.0,1.0
Man United,10,3,6,33,31,28,9.0,14.0,319.0,289.0,116.0,99.0,149.0,123.0,183.0,177.0,37.0,43.0,0.0,1.0
Brighton,8,6,5,30,30,27,13.0,11.0,303.0,198.0,113.0,69.0,134.0,70.0,218.0,225.0,36.0,48.0,2.0,1.0
Fulham,9,2,8,29,31,24,13.0,8.0,256.0,238.0,85.0,84.0,112.0,93.0,180.0,218.0,36.0,33.0,2.0,0.0
West Ham,7,8,4,29,31,28,14.0,13.0,238.0,283.0,86.0,105.0,89.0,101.0,193.0,221.0,37.0,39.0,1.0,0.0
Everton,8,4,7,28,22,18,10.0,5.0,294.0,228.0,95.0,72.0,97.0,105.0,210.0,197.0,33.0,34.0,0.0,1.0
Crystal Palace,8,4,7,28,37,26,17.0,7.0,258.0,199.0,96.0,65.0,103.0,77.0,228.0,225.0,37.0,41.0,1.0,2.0
Bournemouth,7,6,6,27,27,28,8.0,12.0,275.0,215.0,98.0,89.0,134.0,100.0,253.0,216.0,36.0,49.0,2.0,0.0
Wolves,8,3,8,27,26,30,9.0,12.0,223.0,281.0,84.0,95.0,99.0,96.0,235.0,208.0,49.0,54.0,2.0,2.0
Brentford,5,7,7,22,29,34,11.0,16.0,260.0,268.0,85.0,95.0,92.0,103.0,173.0,213.0,37.0,36.0,1.0,2.0
Nott'm Forest,5,5,9,20,27,30,11.0,10.0,254.0,244.0,75.0,77.0,82.0,112.0,204.0,186.0,28.0,40.0,2.0,4.0
Luton,4,4,11,16,28,37,9.0,18.0,264.0,268.0,84.0,101.0,126.0,97.0,221.0,245.0,37.0,37.0,0.0,2.0
Burnley,2,4,13,10,19,43,7.0,23.0,254.0,249.0,73.0,112.0,106.0,96.0,198.0,187.0,27.0,41.0,1.0,2.0
Sheffield United,2,4,13,10,19,57,7.0,26.0,206.0,331.0,72.0,142.0,78.0,118.0,209.0,170.0,48.0,20.0,3.0,1.0
